comment,equipId,countAt,reset,grouping,shipNames,classNames,shipTypes,subEquipIds,subEquipCategories,subEquipIds2,subEquipCategories2,firepower,bombing,torpedo,antiair,ASW,evasion,LoS,armor,accuracy,range,lastModified,subEquipLevel,subEquipLevel2
艦偵共通,54|151|273,1,,1,,改伊勢型,軽空母|正規空母|装甲空母,,,,,0|0|0|0|1|1|1|1|1|1|2,,0,0,0,0,0|0|1|1|1|1|2|2|2|2|3,0,0,0,2021/08/05
,374,1,,,龍鳳改|瑞鳳改二|瑞鳳改二乙,,,,,,,,,1,,,2,,,,,2026/07/20
,374,1,,,鈴谷航改二|熊野航改二|龍鳳改二,,,,,,,,,2,,,3,,,,,2026/07/20
,374,1,,,龍鳳改二戊,,,,,,,,,3,,,5,,,,,2026/07/20
XF5U,375,*,,,,Lexington級|Casablanca級|Essex級|Yorktown級|Independence級|Ranger級,,,,,,3,,,3,3,3,,,,,2026/07/20
,375,*,,,加賀|加賀改|加賀改二|加賀改二戊|加賀改二護,,,,,,,1,,,1,1,1,,,,,2026/07/20
533mm五連装魚雷(後期型),376,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,2,,4,,,,,,,,2026/07/20
,376,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,1,,2,,,,,,,,2026/07/20
,376,*,,,,Perth級,,,,,,1,,1,,,,,,,,2026/07/20
RUR-4A Weapon Alpha改,377,1,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,,,,,2,1,,,,,2026/07/20
,377,1,,,Fletcher Mk.II|丹陽|雪風改二|吹雪改三護(六式),,,,,,,,,,,1,2,,,,,2026/07/20
,377,1,,,,Perth級,,,,,,,,,,1,1,,,,,2026/07/20
,377,1,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,,,,,1,1,,,,,2026/07/20
対潜短魚雷(試作初期型),378,1,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,,,,,3,1,,,,,2026/07/20
,378,1,,,Fletcher Mk.II|丹陽|雪風改二|吹雪改三護(六式),,,,,,,,,,,1,1,,,,,2026/07/20
,378,1,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,,,,,2,1,,,,,2026/07/20
,378,1,,,,Perth級,,,,,,,,,,1,1,,,,,2026/07/20
12.7cm単装高角砲改二,379,1,,,*,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|0|0|1|1|1|1,,0|0|0|0|0|0|0|0|0|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
12.7cm単装高角砲改三,572,*,,,時雨改三|吹雪改三|吹雪改三護(六式),,,,,,,2,,,1,,1,,,2,,2026/07/20
,572,*,,,*,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|0|0|1|1|1|1,,0|0|0|0|0|0|0|0|0|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
16inch三連装砲 Mk.6,381,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1|1|1|1|1|1|2|2|2|2|2,,,,,,,,,,2026/07/20
,381,*,,,,South Dakota級,,,,,,1,,,,,,,,,,2026/07/20
後期型53cm艦首魚雷(8門),383,*,,,,潜特型(伊400型潜水艦),,,,,,,,2,,,,,,,,2026/07/20
,383,*,,,伊58|伊58改,,,,,,,,,1,,,,,,,,2026/07/20
,383,*,,,伊47,,,,,,,,,3,,,,,,,,2026/07/20
,383,*,,,伊47改,,,,,,,,,4,,,,,,,,2026/07/20
,383,1,,,,潜特型(伊400型潜水艦),,,,,,,,0|0|0|0|1|1|1|1|1|1|1,,,,,,0|0|0|0|0|0|1|1|1|1|1,,2026/07/20
,383,1,,,*,,,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
,383,1,,,伊58|伊58改|伊47|伊47改,,,,,,,,,,,,,,,0|0|0|0|0|1|1|1|1|1|1,,2026/07/20
潜水艦搭載電探&amp;水防式望遠鏡,384,*,,,,潜特型(伊400型潜水艦),,,,,,,,,,,3,,,,,2026/07/20
,384,*,,,伊58|伊58改,,,,,,,,,,,,2,,,,,2026/07/20
,384,*,,,伊47,,,,,,,,,,,,3,,,,,2026/07/20
,384,*,,,伊47改,,,,,,,,,,,,4,,,,,2026/07/20
,384,1,,,*,,,213|214|383,,,,,,3,,,2,,,,,2026/07/20
16inch三連装砲 Mk.6 mod.2,385,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1|1|1|1|1|1|2|2|2|2|2,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,2026/07/20
,385,*,,,,South Dakota級|North Carolina級,,,,,,1,,,,,,,1,,,2026/07/20
,385,*,,,,Colorado級,,,,,,1,,,,,,,,,,2026/07/20
,385,*,,,,,巡洋戦艦,,,,,1,,,,,,,,,,2026/07/20
6inch三連装速射砲 Mk.16:386/6inch三連装速射砲 Mk.16 mod.2:387,386|387,*,,1,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1|1|2|2|2|2|2|3|3|3|3,,,,,,,,,,2026/07/20
16inch三連装砲 Mk.6＋GFCS,390,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1|1|1|2|2|2|2|2|2|2|2,,,,,0|0|0|0|0|0|1|1|1|1|1,,0|0|0|0|0|0|0|0|0|0|1,,,2026/07/20
,390,*,,,,South Dakota級|North Carolina級,,,,,,1,,,,,,,1,,,2026/07/20
,390,*,,,,Colorado級,,,,,,1,,,,,,,,,,2026/07/20
,390,*,,,,,巡洋戦艦,,,,,1,,,,,,,,,,2026/07/20
九九式艦爆二二型,391,*,,,飛鷹|飛鷹改|隼鷹|隼鷹改|隼鷹改二|翔鶴|翔鶴改|翔鶴改二|翔鶴改二甲|瑞鶴|瑞鶴改|瑞鶴改二|瑞鶴改二甲,,,,,,,1,,,,,,,,,,2026/07/20
,391,*,,,瑞鳳|瑞鳳改|龍鳳|祥鳳改|龍鳳改|龍鳳改二戊|龍鳳改二,,,,,,,1,,,,,,,,,,2026/07/20
,391,1,,,瑞鳳改|龍鳳改|龍鳳改二戊|龍鳳改二,,,,,,,,,,,,1,,,,,2026/07/20
,391,*,,,瑞鳳改二|瑞鳳改二乙,,,,,,,1,,,,,1,,,,,2026/07/20
九九式艦爆二二型(熟練),392,*,,,翔鶴|翔鶴改|翔鶴改二|翔鶴改二甲|瑞鶴|瑞鶴改|瑞鶴改二|瑞鶴改二甲,,,,,,,2,,,,,1,,,,,2026/07/20
,392,*,,,飛鷹|飛鷹改|隼鷹|隼鷹改|隼鷹改二,,,,,,,1,,,,,1,,,,,2026/07/20
,392,*,,,瑞鳳|龍鳳|祥鳳改,,,,,,,2,,,,,1,,,,,2026/07/20
,392,*,,,瑞鳳改|龍鳳改|龍鳳改二戊|龍鳳改二,,,,,,,2,,,,,2,,,,,2026/07/20
,392,*,,,瑞鳳改二|瑞鳳改二乙,,,,,,,3,,,,,2,,,,,2026/07/20
120mm/50 連装砲 mod.1936,393,*,,,,Maestrale級,,,,,,2,,,1,,1,,,,,2026/07/20
120mm/50 連装砲改 A.mod.1937,394,*,,,,Maestrale級,,,,,,2|2|2|2|2|2|2|2|3|3|4,,,1,,2,,,0|0|0|0|0|0|0|1|1|2|2,,2026/07/20
,394,*,,,Grecale|Grecale改,,,,,,,0|0|0|0|0|0|0|1|1|1|1,,,,,1|1|1|1|1|1|1|1|1|1|2,,,,,2026/07/20
現地改装12.7cm連装高角砲,397,*,,,丹陽,,,,,,,5|5|5|5|9|9|9|9|9|9|9,,,2,,1|1|1|1|2|2|2|2|2|2|2,,,,,2026/07/20
,397,*,,,雪風改二,,,,,,,3,,,1,,1,,,,,2026/07/20
,397,1,,,丹陽|雪風改二,,,,水上電探,,,3,,,,,3,,,,,2026/07/20
,397,*,,,丹陽|雪風改二,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|1|1|1|1|2|2,,0|0|0|0|0|0|0|1|1|1|1,,,0|0|0|0|0|0|1|1|1|1|2,,2026/07/20
6inch Mk.XXIII三連装砲,399,*,,,,Town級,,,,,,1|1|1|2|2|3|3|3|3|3|3,,,,,2,,,0|0|0|0|0|0|0|0|0|1|1,,2026/07/20
,399,*,,,*,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,,,,,,2026/07/20
533mm 三連装魚雷(53-39型),400,*,,,Верный,,,,,,,1,,8,,,2,,1,,,2026/07/20
,400,1,,,Верный,,,282,,,,2,,,,,,,,,,2026/07/20
,400,*,,,Киров|Киров改,Гангут級|Ташкент級,,,,,,1,,8,,,2,,1,,,2026/07/20
,400,1,,,Киров|Киров改,Гангут級|Ташкент級,,282,,,,2,,,,,,,,,,2026/07/20
,400,*,,,*,,,,,,,,,0|0|0|0|1|1|1|1|2|2|3,,,0|0|0|0|0|0|0|1|1|1|1,,0|0|0|0|0|0|1|1|1|1|1,0|0|1|1|1|1|1|1|1|2|2,,2026/07/20
15.2cm連装砲改二,407,*,,,能代改二|矢矧改二|矢矧改二乙,,,,,,,4,,,2,,1,,,,,2026/07/20
,407,1,,,能代改二|矢矧改二|矢矧改二乙,,,,水上電探,,,2,,2,,,2,,,,,2026/07/20
,407,1,,,能代改二|矢矧改二|矢矧改二乙,,,,対空電探,,,,,,2,,3,,,,,2026/07/20
装甲艇(AB艇),408,*,,,神州丸|神州丸改,,,,,,,2,,,,,2,2,,,,2026/07/20
,408,*,,,あきつ丸|あきつ丸改,,,,,,,1,,,,1,1,1,,,,2026/07/20
,408,*,,,,,駆逐艦,,,,,1,,,,,-5,1,,,,2026/07/20
武装大発,409,*,,,神州丸|神州丸改,,,,,,,1,,,2,,3,,,,,2026/07/20
,409,*,,,あきつ丸|あきつ丸改,,,,,,,1,,,1,1,2,,,,,2026/07/20
42号対空電探改二,411,*,,,,,駆逐艦,,,,,,,,,,-9,,,,,2026/07/20
,411,*,,,,,軽巡洋艦|重雷装巡洋艦,,,,,,,,,,-7,,,,,2026/07/20
,411,*,,,,,練習巡洋艦,,,,,,,,,,-6,,,,,2026/07/20
,411,*,,,,,重巡洋艦|航空巡洋艦,,,,,,,,,,-5,,,,,2026/07/20
,411,1,,,榛名改二乙,,,,,,,1,,,2,,3,,,,,2026/07/20
,411,1,,,榛名改二|扶桑改二|山城改二|榛名改二乙|榛名改二丙,,,,,,,3,,,4,,,,,,,2026/07/20
,411,1,,,霧島改二丙,,,,,,,4|4|4|4|4|5|5|5|5|5|7,,,2|2|2|2|2|3|3|3|3|3|4,,,,,,,2026/07/20
,411,1,,,長門改二|伊勢改二|日向改二|陸奥改二,,,,,,,2,,,2,,,,,,,2026/07/20
,411,1,,,榛名改二|扶桑改二|山城改二|長門改二|伊勢改二|日向改二|陸奥改二|榛名改二乙|榛名改二丙,,,,,,,0|0|0|0|1|1|1|1|1|1|2,,,0|0|0|0|1|1|1|1|1|1|2,,,,,,,2026/07/20
水雷戦隊 熟練見張員,412,1,,,,綾波型|暁型|初春型|吹雪型|朝潮型|島風型|白露型|改白露型|改装白露型|睦月型|陽炎型|改装陽炎型|改陽炎型|夕雲型|改夕雲型|秋月型|神風型|松型,,,,,,2,,4,,2,,,,,,2026/07/20
,412,*,,,,綾波型|暁型|初春型|吹雪型|朝潮型|島風型|白露型|改白露型|改装白露型|睦月型|陽炎型|改装陽炎型|改陽炎型|夕雲型|改夕雲型|秋月型|神風型|松型,,,,,,,,,,,3,1,,,,2026/07/20
,412,1,,,,球磨型|改装球磨型|川内型|長良型|天龍型|夕張型|阿賀野型|改阿賀野型|大淀型|香取型,,,,,,3,,3,,,,,,,,2026/07/20
,412,*,,,,球磨型|改装球磨型|川内型|長良型|天龍型|夕張型|阿賀野型|改阿賀野型|大淀型|香取型,,,,,,,,,,,2,3,,,,2026/07/20
,412,1,,,,古鷹型|高雄型|最上型|青葉型|妙高型|利根型,,,,,,1,,,,,,,,,,2026/07/20
,412,*,,,,古鷹型|高雄型|最上型|青葉型|妙高型|利根型,,,,,,,,,,,1,1,,,,2026/07/20
,412,1,,,,綾波型|暁型|初春型|吹雪型|朝潮型|島風型|白露型|改白露型|改装白露型|睦月型|陽炎型|改装陽炎型|改陽炎型|夕雲型|改夕雲型|秋月型|神風型|松型|球磨型|改装球磨型|川内型|長良型|天龍型|夕張型|阿賀野型|改阿賀野型|大淀型|香取型,,,,,,0|0|0|0|1|1|1|1|1|1|1,,0|0|0|0|0|0|0|0|1|1|1,,,,,,,,2026/07/20
精鋭水雷戦隊 司令部,413,1,,,,綾波型|暁型|初春型|吹雪型|朝潮型|島風型|白露型|改白露型|改装白露型|睦月型|陽炎型|改装陽炎型|改陽炎型|夕雲型|改夕雲型|秋月型|神風型|松型,,,,,,2,,2,,,4,,,,,2026/07/20
,413,1,,,,球磨型|改装球磨型|川内型|長良型|天龍型|夕張型|阿賀野型|改阿賀野型|大淀型|香取型,,,,,,4,,2,,,2,,,,,2026/07/20
,413,1,,,,夕雲型|改夕雲型|秋月型,,,,,,2,,3,,,3,,,,,2026/07/20
,413,1,,,,球磨型|改装球磨型|川内型|長良型|阿賀野型|改阿賀野型|大淀型,,,,,,1,,2,,,2,,,,,2026/07/20
,413,1,,,,天龍型|夕張型,,,,,,,,1,2,,1,,,,,2026/07/20
,413,1,,,由良|由良改|由良改二|初霜|初霜改|初霜改二|島風|島風改|那珂|那珂改|那珂改二|能代|能代改|能代改二|矢矧|矢矧改|矢矧改二|矢矧改二乙|清霜|清霜改|清霜改二|清霜改二丁|浜波|浜波改|浜波改二,,,,,,,,,,1,,1,,,,,2026/07/20
,413,1,,,川内|川内改|川内改二|神通|神通改|神通改二|長波|長波改|長波改二|長波改二補|照月|照月改,,,,,,,1,,1,,,,,,,,2026/07/20
,413,1,,,長波改二|長波改二補,,,,,,,1,,,,,1,,,,,2026/07/20
,413,1,,,神通改二,,,,,,,2,,,,,,,,,,2026/07/20
SOC Seagull:414/SOC Seagull 後期型(熟練):539,414|539,1,,1,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,,,,,,,1,,,,2026/07/20
,414|539,1,,1,,Northampton級|Atlanta級|St. Louis級|Brooklyn級|New Orleans級,,,,,,1,,,,,,1,,,,2026/07/20
SOC Seagull,414,1,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,,,,,,0|0|0|0|0|1|1|1|1|1|1,,,,,2026/07/20
,414,1,,,,Northampton級|Atlanta級|St. Louis級|Brooklyn級|New Orleans級,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|1|1|1,0|0|0|1|1|1|1|1|1|1|1,,,,2026/07/20
SOC Seagull 後期型(熟練),539,1,,,,Brooklyn級,,,,,,,,,,,,,,1,,2026/07/20
,539,1,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,,,,,,0|0|0|1|1|1|1|1|1|1|1,0|0|0|0|0|1|1|1|1|1|1,,0|0|0|0|0|0|0|1|1|1|1,,2026/07/20
,539,1,,,,Northampton級|Atlanta級|St. Louis級|Brooklyn級|New Orleans級,,,,,,0|0|0|0|0|0|0|0|0|1|1,,,0|0|0|0|0|0|1|1|1|1|1,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
SO3C Seamew改,415,1,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,,,,,1,0|0|0|0|0|1|1|1|1|1|1,1,,,,2026/07/20
,415,1,,,,Northampton級|Atlanta級|St. Louis級|Brooklyn級|New Orleans級,,,,,,1|1|1|1|1|1|1|1|2|2|2,,,,,0|0|0|1|1|1|1|1|1|1|1,,,,,2026/07/20
SBD,195,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1,,,,,,,,,,2026/07/20
SBD-5,419,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,2|2|3|3|3|3|3|4|4|4|4,,,,,,,,,,2026/07/20
SB2C-3,420,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1|1|1|2|2|2|2|2|3|3|4,,,,,,,,0|0|0|0|0|0|0|1|1|2|2,,2026/07/20
,420,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,1|1|1|2|2|2|2|2|2|2|2,,,,,,,,,,2026/07/20
,420,*,,,,Essex級,,,,,,1,,,,,,,,,,2026/07/20
,420,*,,,,Ark Royal級,,,,,,-1,,,,,,,,,,2026/07/20
,420,*,,,,,軽空母,,,,,-2,,,,,-1,,-2,,,2026/07/20
SB2C-5,421,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,2|2|2|2|2|3|3|4|4|5|5,,,,,,,,0|0|0|0|0|0|1|1|2|2|3,,2026/07/20
,421,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,2|2|2|2|2|3|3|3|3|3|3,,,,,,,,,,2026/07/20
,421,*,,,,Essex級,,,,,,1,,,,,,,,,,2026/07/20
,421,*,,,,Ark Royal級,,,,,,-1,,,,,,,,,,2026/07/20
,421,*,,,,,軽空母,,,,,-2,,,,,-1,,-2,,,2026/07/20
FM-2,277,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1,,,,,1,,,,,2026/07/20
,277,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,1,,,,,1,,,,,2026/07/20
,277,*,,,,Casablanca級,,,,,,1,,,1,,1,,,,,2026/07/20
FR-1 Fireball,422,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1|1|1|1|1|1|1|1|1|1|2,,,0|0|0|0|0|0|0|1|1|1|1,,1|1|1|1|1|1|1|1|2|2|2,,,0|0|0|0|0|0|0|0|0|1|1,,2026/07/20
,422,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,1,,,,,1,,,,,2026/07/20
,422,*,,,,Essex級,,,,,,1,,,1,,,,,,,2026/07/20
,422,*,,,Gambier Bay Mk.II,,,,,,,2,,,2,,2,,,,,2026/07/20
,422,*,,,,,軽空母,,,,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|0|0|0|0|1|1,,0|0|0|0|0|0|1|1|1|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
Barracuda Mk.II,424,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,2|2|3|3|3|3|4|4|4|4|4,,3,,,,,,0|0|0|0|0|0|0|0|1|1|1,,2026/07/20
,424,*,,,*,,,,,,,,,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
Barracuda Mk.III,425,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,2|2|2|2|3|3|3|3|3|4|4,,1|1|1|1|1|1|1|1|2|2|2,,2|2|3|3|3|3|4|4|4|4|5,,1,,0|0|0|0|0|0|0|1|1|1|1,,2026/07/20
,425,*,,,*,,,,,,,0|0|0|0|0|0|0|1|1|1|1,,,,0|0|0|0|0|0|0|0|1|1|1,,,,0|0|0|0|0|0|0|0|0|1|2,,2026/07/20
65mm/64 単装速射砲改,430,*,,,,Conte di Cavour級,,,,,,,,,1,,1,,,,,2026/07/20
,430,*,,,,V.Veneto級|Maestrale級|Zara級|Aquila級|Guglielmo Marconi級|L.d.S.D.d.Abruzzi級|Conte di Cavour級|Marcello級,,,,,,,,,2|2|2|2|3|3|3|3|3|3|4,,1|1|2|2|2|2|2|3|3|3|3,,,,,2026/07/20
305mm/46 連装砲,426,*,,,,Conte di Cavour級,,,,,,3,,,,,1,,,,,2026/07/20
,426,*,,,,Гангут級,,,,,,2,,,,,1,,,,,2026/07/20
,426,1,,,,Conte di Cavour級,,426|427,,,,1,,,,,1,,,,,2026/07/20
,426,1,,,,Гангут級,,426|427,,,,1,,,,,,,,,,2026/07/20
320mm/44 連装砲,428,*,,,,Conte di Cavour級,,,,,,3,,,,,1,,,,,2026/07/20
,428,*,,,,Гангут級,,,,,,2,,,,,1,,,,,2026/07/20
,428,*,,,,V.Veneto級,,,,,,1,,,,,2,,,,,2026/07/20
,428,1,,,,V.Veneto級|Conte di Cavour級,,428|429,,,,2,,,,,1,,,,,2026/07/20
,428,1,,,,Гангут級,,428|429,,,,1,,,,,,,,,,2026/07/20
305mm/46 三連装砲:427/320mm/44 三連装砲:429,427|429,*,,1,,Conte di Cavour級,,,,,,2,,,,,,,,,,2026/07/20
,427|429,*,,1,,Гангут級,,,,,,1,,,,,,,,,,2026/07/20
Corsair Mk.II:434/Corsair Mk.II(Ace):435,434|435,*,,1,,Illustrious級,,,,,,1,,,1,,2,,,,,2026/07/20
,434|435,*,,1,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,1,,,2,,3,,,,,2026/07/20
,434|435,*,,1,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1,,,1,,2,,,,,2026/07/20
試製 陣風,437,*,,,鳳翔改,,,,,,,3,,,3,,4,,,,,2026/07/20
,437,*,,,鳳翔改二|鳳翔改二戦,,,,,,,4,,,4,,4,,,,,2026/07/20
,437,*,,,飛龍改二|蒼龍改二|飛龍改三,,,,,,,2,,,2,,3,,,,,2026/07/20
,437,*,,,鈴谷航改二|熊野航改二|加賀改二護,,,,,,,2,,,2,,2,,,,,2026/07/20
,437,*,,,龍鳳改二|龍鳳改二戊|伊勢改二|日向改二,,,,,,,1,,,2,,2,,,,,2026/07/20
紫電改四,271,*,,,鈴谷航改二|熊野航改二|龍鳳改二|龍鳳改二戊,,,,,,,0|0|0|0|1|1|1|1|1|1|2,,,0|0|0|0|0|0|2|2|2|2|2,,0|0|0|0|0|0|0|0|2|2|2,,,,,2026/07/20
三式水中探信儀改,438,1,,,,神風型|睦月型|吹雪型|綾波型|暁型|初春型|白露型|改白露型|改装白露型|朝潮型|陽炎型|改装陽炎型|改陽炎型|夕雲型|改夕雲型|島風型|秋月型|松型,,,,,,,,,,1,1,,,,,2026/07/20
,438,1,,,五十鈴改二|那珂改二|由良改二,,,,,,,,,,,1,1,,,,,2026/07/20
,438,1,,,時雨改二|春風改|神風改|朝霜改二|山風改二|山風改二丁|朝霜改二補|時雨改三,,,,,,,,,,,0|0|0|0|1|1|1|1|2|2|2,0|0|0|0|0|0|1|1|1|1|2,,,,,2026/07/20
,438,1,,,潮|潮改|潮改二|雷|雷改|涼風|涼風改|舞風|舞風改|磯風|磯風改|磯風乙改|浜風|浜風改|浜風乙改|山雲|山雲改|海風|海風改|海風改二|江風|江風改|江風改二,,,,,,,,,,,1,,,,,,2026/07/20
,438,1,,,時雨|時雨改|時雨改二|時雨改三|山風|山風改|山風改二|山風改二丁|神風|神風改|春風|春風改|石垣|石垣改|御蔵|御蔵改,,,,,,,,,,,1,1,,,,,2026/07/20
プリエーゼ式水中防御隔壁,136,1,,,,V.Veneto級|Maestrale級|Zara級|Aquila級|Guglielmo Marconi級|L.d.S.D.d.Abruzzi級|Conte di Cavour級|Marcello級,,,,,,,,,,,1,,2,,,2026/07/20
,136,1,,,Conte di Cavour nuovo,,,,,,,,,,,,1,,1,,,2026/07/20
,136,*,,,,V.Veneto級|Maestrale級|Zara級|Aquila級|Guglielmo Marconi級|L.d.S.D.d.Abruzzi級|Conte di Cavour級|Marcello級,,,,,,,,,,,,,0|0|0|1|1|1|2|2|2|2|3,,,2026/07/20
Hedgehog(初期型),439,1,,,,,海防艦|駆逐艦|軽巡洋艦|練習巡洋艦,,,,,,,,,1,1,,,,,2026/07/20
,439,1,,,,,海防艦,,,,,,,,,1,,,,,,2026/07/20
,439,1,,,,松型,,,,,,,,,,1,,,,,,2026/07/20
